# Transaction Log generated: 2025-11-06 18:45:44
TXN:CREDIT | AMT:$22,650.59 | ID:XY975
TXN:CREDIT | AMT:$55346.35 | ID:EURO661
TXN:CREDIT | AMT:$250.00 | ID:<script>alert(1)</script>
TXN:DEBIT  | AMT:$0.00 | ID:ZERO001
TXN:CREDIT | AMT:$3149.51 | ID:EURO366
TXN:DEBIT  | AMT:$21746.22 | ID:TX365
TXN:CREDIT | AMT:£76,527.98 | ID:AB771
TXN:CREDIT | AMT:$39343.85 | ID:EURO915
TXN:DEBIT  | AMT:$73014.10 | ID:CN304
TXN:CREDIT | AMT:$62459.01 | ID:CN675
TXN:DEBIT  | AMT:$250000.00 | ID:BIGTXN1
TXN:CREDIT | AMT:£19100.06 | ID:CN307
TXN:DEBIT  | AMT:₹70902.83 | ID:CN294
TXN:CREDIT | AMT:$64466.90 | ID:US303
TXN:CREDIT | AMT:€64946.66 | ID:INR164
TXN:DEBIT  | AMT:$53851.04 | ID:EURO50
TXN:DEBIT  | AMT:€7,817.61 | ID:US754
TXN:DEBIT  | AMT:€6,613.41 | ID:HH105
TXN:DEBIT  | AMT:£7,374.54 | ID:CN674
TXN:CREDIT | AMT:-₹5000.00 | ID:NEG001
TXN:CREDIT | AMT:€42686.77 | ID:AB190
TXN:CREDIT | ID:MISSINGAMT
TXN:DEBIT  | AMT:$48244.48 | ID:US358
TXN:DEBIT  | AMT:₹35533.80 | ID:XY199
TXN:CREDIT | AMT:$57529.10 | ID:US203
TXN:CREDIT | AMT:$12000.00 | ID:DUP100
TXN:DEBIT  | AMT:₹52946.81 | ID:INR624
TXN:DEBIT  | AMT:₹67121.06 | ID:AB444
TXN:DEBIT  | AMT:$0.05 | ID:FRAC01
TXN:DEBIT  | AMT:₹3146.66 | ID:XY582
TXN:CREDIT | AMT:$5,976.78 | ID:XY521
TXN:DEBIT  | AMT:€77038.43 | ID:HH118
TXN:DEBIT  | AMT:€72,812.17 | ID:EURO406
TXN:DEBIT  | AMT:£30,330.86 | ID:TX678
TXN:CREDIT | AMT:€45361.12 | ID:TX402
TXN:DEBIT  | AMT:€17654.27 | ID:INR333
TXN:DEBIT  | AMT:$10000.00 | ID:DUP100
TXN:CREDIT | AMT:500USD | ID:SUF01
TXN:CREDIT | AMT:₹56039.10 | ID:HH250
TXN:DEBIT  | AMT:₹49947.55 | ID:US822
TXN:CREDIT | AMT:₹9823.87 | ID:XY922
TXN:DEBIT  | AMT:$1500.00 | ID:OR'1'='1';--
TXN:CREDIT | AMT:€43542.81 | ID:US704
TXN:CREDIT | AMT:¤1234.56 | ID:UNKN01
MALFORMED ENTRY - AMT:$1000 ID:
TXN:DEBIT  | AMT:$16625.40 | ID:XY665
TXN:DEBIT  | AMT:$27988.78 | ID:XY595
TXN:CREDIT | AMT:€62,167.91 | ID:EURO263
TXN:DEBIT  | AMT:₹35177.34 | ID:EURO968
TXN:DEBIT  | AMT:$26921.80 | ID:US841
